time	track	a	b
2016-6-28T14:2:28	8008	1	/mnt/scratch/ops/workflows/gcs_8008_production/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/gcs_8008_production/gcs_8008/src/gcs_check_readiness.py /mnt/production_storage/sequencing/ops/support/gcs_8008/results/HNY3MBCXX
2016-6-28T14:2:57	8008	1	/mnt/scratch/ops/workflows/gcs_8008_validation/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/gcs_8008_validation/gcs_8008/src/gcs_preanalysis.py /mnt/production_storage/sequencing/ops/validation/gcs_8008/results/HNY3MBCXX
2016-6-28T14:33:15	9001:v2	1	/mnt/scratch/ops/workflows/NIPT9001_validation/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/NIPT9001_validation/workflow_wrappers/src/nipt9001_analyze_sample.py /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169459022 /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169459022
2016-6-28T14:33:15	9001:v2	1	/mnt/scratch/ops/workflows/NIPT9001_validation/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/NIPT9001_validation/workflow_wrappers/src/nipt9001_analyze_sample.py /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169459722 /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169459722
2016-6-28T14:33:45	9001:v2	1	/mnt/scratch/ops/workflows/NIPT9001_validation/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/NIPT9001_validation/workflow_wrappers/src/nipt9001_analyze_sample.py /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169474036 /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169474036
2016-6-28T14:33:45	9001:v2	1	/mnt/scratch/ops/workflows/NIPT9001_validation/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/NIPT9001_validation/workflow_wrappers/src/nipt9001_analyze_sample.py /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169474037 /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169474037
2016-6-28T14:34:15	9001:v2	1	/mnt/scratch/ops/workflows/NIPT9001_validation/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/NIPT9001_validation/workflow_wrappers/src/nipt9001_analyze_sample.py /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169474031 /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169474031
2016-6-28T14:34:15	9001:v2	1	/mnt/scratch/ops/workflows/NIPT9001_validation/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/NIPT9001_validation/workflow_wrappers/src/nipt9001_analyze_sample.py /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169474034 /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169474034
2016-6-28T14:34:46	9001:v2	1	/mnt/scratch/ops/workflows/NIPT9001_validation/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/NIPT9001_validation/workflow_wrappers/src/nipt9001_analyze_sample.py /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0156136272 /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0156136272
2016-6-28T14:34:46	9001:v2	1	/mnt/scratch/ops/workflows/NIPT9001_validation/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/NIPT9001_validation/workflow_wrappers/src/nipt9001_analyze_sample.py /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169474078 /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169474078
2016-6-28T14:35:16	9001:v2	1	/mnt/scratch/ops/workflows/NIPT9001_validation/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/NIPT9001_validation/workflow_wrappers/src/nipt9001_analyze_sample.py /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169459682 /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169459682
2016-6-28T14:35:17	9001:v2	1	/mnt/scratch/ops/workflows/NIPT9001_validation/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/NIPT9001_validation/workflow_wrappers/src/nipt9001_analyze_sample.py /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169474051 /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169474051
2016-6-28T14:35:47	9001:v2	1	/mnt/scratch/ops/workflows/NIPT9001_validation/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/NIPT9001_validation/workflow_wrappers/src/nipt9001_analyze_sample.py /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0156137170 /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0156137170
2016-6-28T14:35:48	9001:v2	1	/mnt/scratch/ops/workflows/NIPT9001_validation/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/NIPT9001_validation/workflow_wrappers/src/nipt9001_analyze_sample.py /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169474013 /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169474013
2016-6-28T14:36:17	9001:v2	1	/mnt/scratch/ops/workflows/NIPT9001_validation/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/NIPT9001_validation/workflow_wrappers/src/nipt9001_analyze_sample.py /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169459714 /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169459714
2016-6-28T14:36:17	9001:v2	1	/mnt/scratch/ops/workflows/NIPT9001_validation/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/NIPT9001_validation/workflow_wrappers/src/nipt9001_analyze_sample.py /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169459739 /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169459739
2016-6-28T14:36:48	9001:v2	1	/mnt/scratch/ops/workflows/NIPT9001_validation/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/NIPT9001_validation/workflow_wrappers/src/nipt9001_analyze_sample.py /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169459690 /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169459690
2016-6-28T14:36:48	9001:v2	1	/mnt/scratch/ops/workflows/NIPT9001_validation/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/NIPT9001_validation/workflow_wrappers/src/nipt9001_analyze_sample.py /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169459715 /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169459715
2016-6-28T14:36:48	9001:v2	1	/mnt/scratch/ops/workflows/NIPT9001_validation/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/NIPT9001_validation/workflow_wrappers/src/nipt9001_analyze_sample.py /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169459741 /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169459741
2016-6-28T14:37:18	9001:v2	1	/mnt/scratch/ops/workflows/NIPT9001_validation/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/NIPT9001_validation/workflow_wrappers/src/nipt9001_analyze_sample.py /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0156137328 /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0156137328
2016-6-28T14:37:18	9001:v2	1	/mnt/scratch/ops/workflows/NIPT9001_validation/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/NIPT9001_validation/workflow_wrappers/src/nipt9001_analyze_sample.py /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169459755 /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169459755
2016-6-28T14:37:18	9001:v2	1	/mnt/scratch/ops/workflows/NIPT9001_validation/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/NIPT9001_validation/workflow_wrappers/src/nipt9001_analyze_sample.py /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169473986 /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169473986
2016-6-28T14:37:18	9001:v2	1	/mnt/scratch/ops/workflows/NIPT9001_validation/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/NIPT9001_validation/workflow_wrappers/src/nipt9001_analyze_sample.py /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169474026 /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169474026
2016-6-28T14:37:48	9001:v2	1	/mnt/scratch/ops/workflows/NIPT9001_validation/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/NIPT9001_validation/workflow_wrappers/src/nipt9001_analyze_sample.py /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169459749 /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169459749
2016-6-28T14:37:49	9001:v2	1	/mnt/scratch/ops/workflows/NIPT9001_validation/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/NIPT9001_validation/workflow_wrappers/src/nipt9001_analyze_sample.py /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169459718 /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169459718
2016-6-28T14:37:49	9001:v2	1	/mnt/scratch/ops/workflows/NIPT9001_validation/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/NIPT9001_validation/workflow_wrappers/src/nipt9001_analyze_sample.py /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169474011 /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169474011
2016-6-28T14:37:49	9001:v2	1	/mnt/scratch/ops/workflows/NIPT9001_validation/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/NIPT9001_validation/workflow_wrappers/src/nipt9001_analyze_sample.py /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_XY_Control /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_XY_Control
2016-6-28T14:38:19	9001:v2	1	/mnt/scratch/ops/workflows/NIPT9001_validation/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/NIPT9001_validation/workflow_wrappers/src/nipt9001_analyze_sample.py /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0156137096 /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0156137096
2016-6-28T14:38:19	9001:v2	1	/mnt/scratch/ops/workflows/NIPT9001_validation/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/NIPT9001_validation/workflow_wrappers/src/nipt9001_analyze_sample.py /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169459698 /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169459698
2016-6-28T14:38:19	9001:v2	1	/mnt/scratch/ops/workflows/NIPT9001_validation/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/NIPT9001_validation/workflow_wrappers/src/nipt9001_analyze_sample.py /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169459712 /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169459712
2016-6-28T14:38:20	9001:v2	1	/mnt/scratch/ops/workflows/NIPT9001_validation/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/NIPT9001_validation/workflow_wrappers/src/nipt9001_analyze_sample.py /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0156137125 /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0156137125
2016-6-28T14:38:50	9001:v2	1	/mnt/scratch/ops/workflows/NIPT9001_validation/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/NIPT9001_validation/workflow_wrappers/src/nipt9001_analyze_sample.py /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169459709 /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169459709
2016-6-28T14:38:50	9001:v2	1	/mnt/scratch/ops/workflows/NIPT9001_validation/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/NIPT9001_validation/workflow_wrappers/src/nipt9001_analyze_sample.py /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169459760 /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169459760
2016-6-28T14:38:50	9001:v2	1	/mnt/scratch/ops/workflows/NIPT9001_validation/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/NIPT9001_validation/workflow_wrappers/src/nipt9001_analyze_sample.py /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169459770 /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169459770
2016-6-28T14:38:50	9001:v2	1	/mnt/scratch/ops/workflows/NIPT9001_validation/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/NIPT9001_validation/workflow_wrappers/src/nipt9001_analyze_sample.py /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169474003 /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169474003
2016-6-28T14:38:51	9001:v2	1	/mnt/scratch/ops/workflows/NIPT9001_validation/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/NIPT9001_validation/workflow_wrappers/src/nipt9001_analyze_sample.py /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169459694 /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169459694
2016-6-28T14:39:20	9001:v2	1	/mnt/scratch/ops/workflows/NIPT9001_validation/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/NIPT9001_validation/workflow_wrappers/src/nipt9001_analyze_sample.py /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0156137124 /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0156137124
2016-6-28T14:39:20	9001:v2	1	/mnt/scratch/ops/workflows/NIPT9001_validation/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/NIPT9001_validation/workflow_wrappers/src/nipt9001_analyze_sample.py /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0156137150 /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0156137150
2016-6-28T14:39:21	9001:v2	1	/mnt/scratch/ops/workflows/NIPT9001_validation/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/NIPT9001_validation/workflow_wrappers/src/nipt9001_analyze_sample.py /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169459692 /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169459692
2016-6-28T14:39:21	9001:v2	1	/mnt/scratch/ops/workflows/NIPT9001_validation/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/NIPT9001_validation/workflow_wrappers/src/nipt9001_analyze_sample.py /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169474029 /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169474029
2016-6-28T14:39:22	9001:v2	1	/mnt/scratch/ops/workflows/NIPT9001_validation/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/NIPT9001_validation/workflow_wrappers/src/nipt9001_analyze_sample.py /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169474032 /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0169474032
2016-6-28T14:39:51	9001:v2	1	/mnt/scratch/ops/workflows/NIPT9001_validation/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/NIPT9001_validation/workflow_wrappers/src/nipt9001_analyze_sample.py /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0156137352 /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2/Project_NIPT9001_Exp19/Sample_0156137352
